,corpus,Sentiment
884,three differ occas ask well done medium well three time got bloodiest piec meat plate,0
885,two bite refus eat anymor,0
886,servic extrem slow,0
887,minut wait got tabl,0
888,serious killer hot chai latt,1
889,allergi warn menu waitress absolut clue meal contain peanut,0
890,boyfriend tri mediterranean chicken salad fell love,1
891,rotat beer tap also highlight place,1
892,price bit concern mellow mushroom,0
893,worst thai ever,0
894,stay vega must get breakfast least,1
895,want first say server great perfect servic,1
896,pizza select good,1
897,strawberri tea good,1
898,highli unprofession rude loyal patron,0
899,overal great experi,1
900,spend money elsewher,0
901,regular toast bread equal satisfi occasion pat butter mmmm,1
902,buffet bellagio far anticip,0
903,drink weak peopl,0
904,order correct,0
905,also feel like chip bought made hous,0
906,disappoint dinner went elsewher dessert,0
907,chip sal amaz,1
908,return,0
909,new fav vega buffet spot,1
910,serious cannot believ owner mani unexperienc employe run around like chicken head cut,0
911,sad,0
912,felt insult disrespect could talk judg anoth human like,0
913,call steakhous properli cook steak understand,0
914,impress concept food,0
915,thing crazi guacamol like pur ed,0
916,realli noth postino hope experi better,0
917,got food poison buffet,0
918,brought fresh batch fri think yay someth warm,0
919,hilari yummi christma eve dinner rememb biggest fail entir trip us,0
920,needless say go back anytim soon,0
921,place disgust,0
922,everi time eat see care teamwork profession degre,1
923,ri style calamari joke,0
924,howev much garlic fondu bare edibl,0
925,could bare stomach meal complain busi lunch,0
926,bad lost heart finish,0
927,also took forev bring us check ask,0
928,one make scene restaur get definit lost love one,0
929,disappoint experi,0
930,food par denni say good,0
931,want wait mediocr food downright terribl servic place,0
932,waaaaaayyyyyyyyyi rate say,0
933,go back,0
934,place fairli clean food simpli worth,0
935,place lack style,0
936,sangria half glass wine full ridicul,0
937,bother come,0
938,meat pretti dri slice brisket pull pork,0
939,build seem pretti neat bathroom pretti trippi eat,0
940,equal aw,0
941,probabl hurri go back,0
942,slow seat even reserv,0
943,good stretch imagin,0
944,cashew cream sauc bland veget undercook,0
945,chipolt ranch dip saus tasteless seem thin water heat,0
946,bit sweet realli spici enough lack flavor,0
947,disappoint,0
948,place horribl way overpr,0
949,mayb vegetarian fare twice thought averag best,0
950,busi know,0
951,tabl outsid also dirti lot time worker alway friendli help menu,0
952,ambianc feel like buffet set douchey indoor garden tea biscuit,0
953,con spotti servic,0
954,fri hot neither burger,0
955,came back cold,0
956,food came disappoint ensu,0
957,real disappoint waiter,0
958,husband said rude even apolog bad food anyth,0
959,reason eat would fill night bing drink get carb stomach,0
960,insult profound deuchebaggeri go outsid smoke break serv solidifi,0
961,someon order two taco think may part custom servic ask combo ala cart,0
962,quit disappoint although blame need place door,0
963,rave review wait eat disappoint,0
964,del taco pretti nasti avoid possibl,0
965,hard make decent hamburg,0
966,like,0
967,hell go back,0
968,gotten much better servic pizza place next door servic receiv restaur,0
969,know big deal place back ya,0
970,immedi said want talk manag want talk guy shot firebal behind bar,0
971,ambianc much better,0
972,unfortun set us disapppoint entre,0
973,food good,0
974,server suck wait correct server heimer suck,0
975,happen next pretti put,0
976,bad caus know famili own realli want like place,0
977,overpr get,0
978,vomit bathroom mid lunch,0
979,kept look time soon becom minut yet still food,0
980,place eat circumst would ever return top list,0
981,start tuna sashimi brownish color obvious fresh,0
982,food averag,0
983,sure beat nacho movi would expect littl bit come restaur,0
984,ha long bay bit flop,0
985,problem charg sandwich bigger subway sub offer better amount veget,0
986,shrimp unwrap live mile brushfir liter ice cold,0
987,lack flavor seem undercook dri,0
988,realli impress place close,0
989,would avoid place stay mirag,0
990,refri bean came meal dri crusti food bland,0
991,spend money time place els,0
992,ladi tabl next us found live green caterpillar salad,0
993,present food aw,0
994,tell disappoint,0
995,think food flavor textur lack,0
996,appetit instantli gone,0
997,overal impress would go back,0
998,whole experi underwhelm think go ninja sushi next time,0
999,wast enough life pour salt wound draw time took bring check,0
